source,target,type,value
10100,15000,Tier6/>48Hours,1
10700,15100,Tier6/>48Hours,1
10700,10500,Tier6/>48Hours,1
10700,10900,Tier6/>48Hours,1
10700,17900,Tier6/>48Hours,1
11000,10700,Tier6/>48Hours,1
13900,14600,Tier6/>48Hours,1
13900,10200,Tier6/>48Hours,1
13900,14000,Tier6/>48Hours,1
13900,14100,Tier6/>48Hours,1
14200,10900,Tier6/>48Hours,1
10700,10900,Tier6/>48Hours,1
14500,75700,Tier6/>48Hours,1
14500,75800,Tier6/>48Hours,1
14500,12200,Tier6/>48Hours,1
14500,10200,Tier6/>48Hours,1
14500,75900,Tier6/>48Hours,1
14500,76000,Tier6/>48Hours,1
14500,76100,Tier6/>48Hours,1
14500,14200,Tier6/>48Hours,1
14500,10400,Tier6/>48Hours,1
14500,11000,Tier6/>48Hours,1
13900,14000,Tier6/>48Hours,1
14800,14000,Tier6/>48Hours,1
10100,15000,Tier6/>48Hours,1
10700,15100,Tier6/>48Hours,1
15200,10400,Tier6/>48Hours,1
15300,10400,Tier6/>48Hours,1
17000,10400,Tier6/>48Hours,1
17100,10400,Tier6/>48Hours,1
17200,10400,Tier6/>48Hours,1
17400,10400,Tier6/>48Hours,1
14500,10400,Tier6/>48Hours,1
10000,10100,Tier5/24-48Hours,3
10200,10700,Tier5/24-48Hours,3
10300,10700,Tier5/24-48Hours,3
10600,10700,Tier5/24-48Hours,3
10900,10700,Tier5/24-48Hours,3
14000,13900,Tier5/24-48Hours,3
14100,13900,Tier5/24-48Hours,3
14000,10900,Tier5/24-48Hours,3
10600,10900,Tier5/24-48Hours,3
10900,10200,Tier5/24-48Hours,3
10900,14900,Tier5/24-48Hours,3
10900,10700,Tier5/24-48Hours,3
10200,14500,Tier5/24-48Hours,3
14600,14000,Tier5/24-48Hours,3
10200,14000,Tier5/24-48Hours,3
14000,11500,Tier5/24-48Hours,3
14000,12200,Tier5/24-48Hours,3
14000,13900,Tier5/24-48Hours,3
14000,14700,Tier5/24-48Hours,3
14000,76200,Tier5/24-48Hours,3
14000,15100,Tier5/24-48Hours,3
14000,76300,Tier5/24-48Hours,3
14000,14800,Tier5/24-48Hours,3
14000,14800,Tier5/24-48Hours,3
14000,14800,Tier5/24-48Hours,3
14000,14900,Tier5/24-48Hours,3
14000,10900,Tier5/24-48Hours,3
14000,15000,Tier5/24-48Hours,3
14900,14000,Tier5/24-48Hours,3
15000,14000,Tier5/24-48Hours,3
10200,15000,Tier5/24-48Hours,3
14000,15000,Tier5/24-48Hours,3
14900,15000,Tier5/24-48Hours,3
15000,14000,Tier5/24-48Hours,3
15100,10200,Tier5/24-48Hours,3
14000,15100,Tier5/24-48Hours,3
10600,15100,Tier5/24-48Hours,3
16300,10400,Tier5/24-48Hours,3
17500,10200,Tier5/24-48Hours,3
17500,17700,Tier5/24-48Hours,3
17500,77200,Tier5/24-48Hours,3
17700,17500,Tier5/24-48Hours,3
10800,10700,Tier4/10-24Hours,5
13000,13900,Tier4/10-24Hours,5
14300,10900,Tier4/10-24Hours,5
11200,14000,Tier4/10-24Hours,5
14700,14000,Tier4/10-24Hours,5
11200,15000,Tier4/10-24Hours,5
16200,10400,Tier4/10-24Hours,5
16900,10400,Tier4/10-24Hours,5
17300,10400,Tier4/10-24Hours,5
11200,17500,Tier4/10-24Hours,5
17600,17500,Tier4/10-24Hours,5
17800,17500,Tier4/10-24Hours,5
10500,10700,Tier3/4-10Hours,8
14400,14500,Tier3/4-10Hours,8
15400,10400,Tier3/4-10Hours,8
15900,10400,Tier3/4-10Hours,8
16600,10400,Tier3/4-10Hours,8
16700,10400,Tier3/4-10Hours,8
10400,10700,Tier2/1-4Hours,10
12000,18000,Tier2/1-4Hours,10
12000,18100,Tier2/1-4Hours,10
12000,18200,Tier2/1-4Hours,10
12000,18300,Tier2/1-4Hours,10
12000,18400,Tier2/1-4Hours,10
12000,18500,Tier2/1-4Hours,10
12000,18600,Tier2/1-4Hours,10
12000,18700,Tier2/1-4Hours,10
12000,18800,Tier2/1-4Hours,10
12000,18900,Tier2/1-4Hours,10
12000,19000,Tier2/1-4Hours,10
12000,19000,Tier2/1-4Hours,10
12000,19200,Tier2/1-4Hours,10
12000,19300,Tier2/1-4Hours,10
12000,19400,Tier2/1-4Hours,10
12000,19500,Tier2/1-4Hours,10
12000,19600,Tier2/1-4Hours,10
12000,19700,Tier2/1-4Hours,10
12000,19800,Tier2/1-4Hours,10
12000,19900,Tier2/1-4Hours,10
12000,20000,Tier2/1-4Hours,10
12000,20000,Tier2/1-4Hours,10
12000,20100,Tier2/1-4Hours,10
12000,20200,Tier2/1-4Hours,10
12000,20300,Tier2/1-4Hours,10
12000,20400,Tier2/1-4Hours,10
12000,20500,Tier2/1-4Hours,10
12000,20600,Tier2/1-4Hours,10
12000,20700,Tier2/1-4Hours,10
12000,20800,Tier2/1-4Hours,10
12000,20900,Tier2/1-4Hours,10
12000,21000,Tier2/1-4Hours,10
12000,21100,Tier2/1-4Hours,10
12000,21200,Tier2/1-4Hours,10
12000,21300,Tier2/1-4Hours,10
12000,21400,Tier2/1-4Hours,10
12000,21500,Tier2/1-4Hours,10
12000,21600,Tier2/1-4Hours,10
12000,21700,Tier2/1-4Hours,10
12000,21700,Tier2/1-4Hours,10
12000,21800,Tier2/1-4Hours,10
12000,21900,Tier2/1-4Hours,10
12000,21900,Tier2/1-4Hours,10
12000,22000,Tier2/1-4Hours,10
12000,22000,Tier2/1-4Hours,10
12000,22100,Tier2/1-4Hours,10
12000,22200,Tier2/1-4Hours,10
12000,22300,Tier2/1-4Hours,10
12000,22400,Tier2/1-4Hours,10
12000,22500,Tier2/1-4Hours,10
12000,22600,Tier2/1-4Hours,10
12000,22700,Tier2/1-4Hours,10
12000,22800,Tier2/1-4Hours,10
12000,22800,Tier2/1-4Hours,10
12000,22800,Tier2/1-4Hours,10
12000,22900,Tier2/1-4Hours,10
12000,23000,Tier2/1-4Hours,10
12000,23100,Tier2/1-4Hours,10
12000,23200,Tier2/1-4Hours,10
12000,23300,Tier2/1-4Hours,10
12000,23400,Tier2/1-4Hours,10
12000,23500,Tier2/1-4Hours,10
12000,23600,Tier2/1-4Hours,10
12000,23600,Tier2/1-4Hours,10
12000,23700,Tier2/1-4Hours,10
12000,23800,Tier2/1-4Hours,10
12000,23900,Tier2/1-4Hours,10
12000,24000,Tier2/1-4Hours,10
12000,24100,Tier2/1-4Hours,10
12000,24200,Tier2/1-4Hours,10
12000,24300,Tier2/1-4Hours,10
12000,24400,Tier2/1-4Hours,10
12000,24500,Tier2/1-4Hours,10
12000,24500,Tier2/1-4Hours,10
12000,24600,Tier2/1-4Hours,10
12000,24700,Tier2/1-4Hours,10
12000,24800,Tier2/1-4Hours,10
12000,24900,Tier2/1-4Hours,10
12000,25000,Tier2/1-4Hours,10
12000,25100,Tier2/1-4Hours,10
12000,25200,Tier2/1-4Hours,10
